id,min_value,max_value,rank_name
103,78500,79099,LG4
104,79100,79699,LG5
105,79700,80399,LG6
106,80400,80999,LG7
107,81000,81699,LG8
108,81700,82299,LG9
109,82300,82999,LG10
110,83000,83599,LG11
111,83600,84299,LG12
112,84300,84899,LG13
113,84900,85599,LG14
114,85600,86199,LG15
115,86200,86699,LG16
116,86700,87299,LG17
117,87300,87899,LG18
118,87900,88499,LG19
119,88500,89099,LG20
120,89100,89699,LG21
121,89700,90299,LG22
122,90300,90899,LG23
123,90900,91399,LG24
124,91400,91999,LF
125,92000,92599,LF1
126,92600,93199,LF2
127,93200,93799,LF3
128,93800,94399,LF4
129,94400,94999,LF5
130,95000,95599,LF6
131,95600,96299,LF7
132,96300,96899,LF8
133,96900,97499,LF9
134,97500,97999,LF10
135,98000,98499,LF11
136,98500,98999,LF12
137,99000,99599,LF13
138,99600,100099,LF14
139,100100,100599,LF15
140,100600,101099,LF16
141,101100,101699,LF17
142,101700,102199,LF18
143,102200,102699,LF19
144,102700,103199,LF20
145,103200,103799,LF21
146,103800,104299,LF22
147,104300,104799,LF23
148,104800,105399,LF24
149,105400,105899,LE
150,105900,106399,LE1
151,106400,106899,LE2
152,106900,107499,LE3
153,107500,107999,LE4
154,108000,108499,LE5
155,108500,109099,LE6
156,109100,109599,LE7
157,109600,110099,LE8
158,110100,110699,LE9
159,110700,111199,LE10
160,111200,111799,LE11
161,111800,112299,LE12
162,112300,112799,LE13
163,112800,113399,LE14
164,113400,113899,LE15
165,113900,114399,LE16
166,114400,114999,LE17
167,115000,115499,LE18
168,115500,116099,LE19
169,116100,116599,LE20
170,116600,117099,LE21
171,117100,117699,LE22
172,117700,118199,LE23
173,118200,118799,LE24
174,118800,119299,LD
175,119300,119899,LD1
176,119900,120399,LD2
177,120400,120999,LD3
178,121000,121499,LD4
179,121500,121999,LD5
180,122000,122599,LD6
181,122600,123099,LD7
182,123100,123699,LD8
183,123700,124199,LD9
184,124200,124799,LD10
185,124800,125299,LD11
186,125300,125899,LD12
187,125900,126399,LD13
188,126400,126999,LD14
189,127000,127499,LD15
190,127500,128099,LD16
191,128100,128699,LD17
192,128700,129199,LD18
193,129200,129799,LD19
194,129800,130299,LD20
195,130300,130899,LD21
196,130900,131399,LD22
197,131400,131999,LD23
198,132000,132499,LD24
199,132500,133099,LC
200,133100,133699,LC1
201,133700,134199,LC2
202,134200,134799,LC3
203,134800,135299,LC4
204,135300,135899,LC5
205,135900,136499,LC6
206,136500,136999,LC7
207,137000,137599,LC8
208,137600,138099,LC9
209,138100,138699,LC10
210,138700,139299,LC11
211,139300,139799,LC12
212,139800,140399,LC13
213,140400,140999,LC14
214,141000,141499,LC15
215,141500,142099,LC16
216,142100,142699,LC17
217,142700,143199,LC18
218,143200,143799,LC19
219,143800,144399,LC20
220,144400,144899,LC21
221,144900,145499,LC22
222,145500,146099,LC23
223,146100,146599,LC24
224,146600,147199,LB
225,147200,147799,LB1
226,147800,148399,LB2
227,148400,148899,LB3
228,148900,149499,LB4
229,149500,150099,LB5
230,150100,150699,LB6
231,150700,151199,LB7
232,151200,151799,LB8
233,151800,152399,LB9
234,152400,152999,LB10
235,153000,153499,LB11
236,153500,154099,LB12
237,154100,154699,LB13
238,154700,155299,LB14
239,155300,155899,LB15
240,155900,156399,LB16
241,156400,156999,LB17
242,157000,157599,LB18
243,157600,158199,LB19
244,158200,158799,LB20
245,158800,159299,LB21
246,159300,159899,LB22
247,159900,160499,LB23
248,160500,161099,LB24
249,161100,161699,LA
250,161700,162299,LA1
251,162300,162899,LA2
252,162900,163399,LA3
253,163400,163999,LA4
254,164000,164599,LA5
255,164600,165199,LA6
256,165200,165799,LA7
257,165800,166399,LA8
258,166400,166999,LA9
259,167000,167599,LA10
260,167600,168199,LA11
261,168200,168699,LA12
262,168700,169299,LA13
263,169300,169899,LA14
264,169900,170499,LA15
265,170500,171099,LA16
266,171100,171699,LA17
267,171700,172299,LA18
268,172300,172899,LA19
269,172900,173499,LA20
270,173500,174099,LA21
271,174100,174699,LA22
272,174700,175299,LA23
273,175300,175899,LA24
274,175900,176499,LS
275,176500,177099,LS1
276,177100,177699,LS2
277,177700,178299,LS3
278,178300,178899,LS4
279,178900,179499,LS5
280,179500,180099,LS6
281,180100,180699,LS7
282,180700,181299,LS8
283,181300,181899,LS9
284,181900,182499,LS10
285,182500,183099,LS11
286,183100,183699,LS12
287,183700,184299,LS13
288,184300,184899,LS14
289,184900,185499,LS15
290,185500,186199,LS16
291,186200,186799,LS17
292,186800,187399,LS18
293,187400,187999,LS19
294,188000,188599,LS20
295,188600,189199,LS21
296,189200,189799,LS22
297,189800,190399,LS23
298,190400,999999,LS24
